date,city,lat,long,pop,shop,brand,container,capacity,price,quantity,price_ml,profit,profit_per_capita
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,kinder-cola,can-330ml,330.0,0.91,11174.0,0.0027575757575757577,10168.34,0.07575931872536676
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,adult-cola,glass-500ml,500.0,1.0,21063.0,0.002,21063.0,0.15693009186478815
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,orange-power,glass-500ml,500.0,0.88,21720.0,0.00176,19113.6,0.14240606769533373
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,orange-power,,330.0,0.23,54780.0,0.000696969696969697,12599.400000000001,0.0938719555353564
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,gazoza,glass-500ml,500.0,0.58,41378.0,0.00116,23999.239999999998,0.17880657731021687
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,gazoza,plastic-1.5lt,1500.0,1.0,30757.0,0.0006666666666666666,30757.0,0.22915533568272747
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,gazoza,can-330ml,330.0,0.26,49688.0,0.0007878787878787879,12918.880000000001,0.09625224446613372
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,lemon-boost,glass-500ml,500.0,0.89,18582.0,0.0017800000000000001,16537.98,0.1232163851615643
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,lemon-boost,plastic-1.5lt,1500.0,2.25,10348.0,0.0015,23283.0,0.17347022403683532
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,lemon-boost,can-330ml,330.0,0.41,29015.0,0.0012424242424242424,11896.15,0.08863238438671127
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,kinder-cola,glass-500ml,500.0,1.11,17474.0,0.00222,19396.140000000003,0.11808913242009134
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,kinder-cola,plastic-1.5lt,1500.0,3.84,8361.0,0.0025599999999999998,32106.239999999998,0.1954717808219178
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,kinder-cola,can-330ml,330.0,0.57,26782.0,0.001727272727272727,15265.739999999998,0.09294210045662099
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,adult-cola,glass-500ml,500.0,1.17,19841.0,0.00234,23213.969999999998,0.1413331506849315
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,adult-cola,plastic-1.5lt,1500.0,2.77,14917.0,0.0018466666666666666,41320.090000000004,0.25156828006088283
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,adult-cola,can-330ml,330.0,0.65,26581.0,0.00196969696969697,17277.65,0.10519117199391173
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,orange-power,plastic-1.5lt,1500.0,1.65,30586.0,0.0010999999999999998,50466.899999999994,0.3072566210045662
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,orange-power,can-330ml,330.0,0.33,66314.0,0.001,21883.620000000003,0.13323360730593609
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,gazoza,glass-500ml,500.0,0.57,56428.0,0.00114,32163.959999999995,0.19582319634703194
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,gazoza,plastic-1.5lt,1500.0,0.73,47386.0,0.00048666666666666666,34591.78,0.21060444444444443
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,gazoza,can-330ml,330.0,0.21,77667.0,0.0006363636363636363,16310.07,0.09930027397260274
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,lemon-boost,plastic-1.5lt,1500.0,2.05,16090.0,0.0013666666666666666,32984.5,0.20081887366818874
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,lemon-boost,can-330ml,330.0,0.68,17127.0,0.002060606060606061,11646.36,0.07090630136986302
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,kinder-cola,plastic-1.5lt,1500.0,2.8,11306.0,0.0018666666666666666,31656.8,0.09136108882488413
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,kinder-cola,can-330ml,330.0,0.79,16018.0,0.002393939393939394,12654.220000000001,0.03651990464701503
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,adult-cola,plastic-1.5lt,1500.0,2.99,12674.0,0.0019933333333333335,37895.26,0.10936519846927291
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,adult-cola,can-330ml,330.0,0.49,30194.0,0.001484848484848485,14795.06,0.04269833940352436
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,orange-power,glass-500ml,500.0,0.96,23346.0,0.0019199999999999998,22412.16,0.0646811851013847
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,orange-power,plastic-1.5lt,1500.0,2.15,12835.0,0.0014333333333333333,27595.25,0.0796395114602513
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,orange-power,can-330ml,330.0,0.41,40722.0,0.0012424242424242424,16696.02,0.048184483783643386
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,gazoza,can-330ml,330.0,0.28,48918.0,0.0008484848484848486,13697.04,0.03952946880537486
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,lemon-boost,glass-500ml,500.0,0.82,27727.0,0.00164,22736.14,0.06561618691955602
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,lemon-boost,plastic-1.5lt,1500.0,1.56,16352.0,0.0010400000000000001,25509.120000000003,0.0736189690102799
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,kinder-cola,plastic-1.5lt,1500.0,3.21,5630.0,0.00214,18072.3,0.02688810200407659
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,kinder-cola,can-330ml,330.0,0.9,5891.0,0.0027272727272727275,5301.900000000001,0.007888206150595867
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,adult-cola,glass-500ml,500.0,1.13,12339.0,0.00226,13943.069999999998,0.02074460297859045
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,adult-cola,plastic-1.5lt,1500.0,2.46,9720.0,0.00164,23911.2,0.03557526073825004
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,adult-cola,can-330ml,330.0,0.71,12035.0,0.0021515151515151512,8544.85,0.012713091217472812
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,orange-power,glass-500ml,500.0,0.83,17298.0,0.00166,14357.34,0.02136095695773139
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,orange-power,plastic-1.5lt,1500.0,1.83,10483.0,0.00122,19183.89,0.028541933852082185
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,orange-power,can-330ml,330.0,0.53,16545.0,0.001606060606060606,8768.85,0.013046360079151356
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,gazoza,glass-500ml,500.0,0.38,35931.0,0.00076,13653.78,0.020314195170577122
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,gazoza,plastic-1.5lt,1500.0,1.16,14480.0,0.0007733333333333332,16796.8,0.024990403642152558
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,lemon-boost,can-330ml,330.0,0.33,21997.0,0.001,7259.01,0.010800008926844509
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,kinder-cola,glass-500ml,500.0,1.38,7495.0,0.00276,10343.099999999999,0.07520066889632106
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,adult-cola,glass-500ml,500.0,1.06,14887.0,0.00212,15780.220000000001,0.11473185982259707
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,adult-cola,plastic-1.5lt,1500.0,2.83,9126.0,0.0018866666666666667,25826.58,0.18777504725897923
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,adult-cola,can-330ml,330.0,0.59,17878.0,0.0017878787878787877,10548.019999999999,0.07669056274538315
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,orange-power,glass-500ml,500.0,0.66,24301.0,0.00132,16038.66,0.11661087683582957
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,orange-power,plastic-1.5lt,1500.0,1.57,16161.0,0.0010466666666666667,25372.77,0.18447557074305657
2012-01-31,Larisa,39.63689,,137540.0,shop_5,orange-power,can-330ml,330.0,0.34,39554.0,0.0010303030303030305,13448.36,0.09777781009160971
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,gazoza,glass-500ml,500.0,0.59,27498.0,0.0011799999999999998,16223.82,0.11795710338810528
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,gazoza,plastic-1.5lt,1500.0,0.84,26495.0,0.00056,22255.8,0.16181329067907518
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,gazoza,can-330ml,330.0,0.27,41445.0,0.0008181818181818183,11190.150000000001,0.08135924094808784
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,lemon-boost,glass-500ml,500.0,0.91,13940.0,0.00182,12685.4,0.09223062381852552
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,lemon-boost,can-330ml,330.0,0.55,16123.0,0.0016666666666666668,8867.650000000001,0.0644732441471572
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,lemon-boost,plastic-1.5lt,1500.0,1.99,8868.0,0.0013266666666666667,17647.32,0.026255813607486647
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,gazoza,can-330ml,330.0,0.33,19886.0,0.001,6562.38,0.009763557645098418
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,kinder-cola,can-330ml,330.0,0.46,19572.0,0.001393939393939394,9003.12,0.06545819397993312
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,lemon-boost,plastic-1.5lt,1500.0,1.73,12100.0,0.0011533333333333333,20933.0,0.1521957248800349
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,kinder-cola,glass-500ml,500.0,1.57,5089.0,0.00314,7989.7300000000005,0.011887179563477304
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,adult-cola,glass-500ml,500.0,1.05,20401.0,0.0021000000000000003,21421.05,0.06182085529087855
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,gazoza,can-330ml,330.0,0.4,16367.0,0.0012121212121212121,6546.8,0.009740377605522741
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,orange-power,plastic-1.5lt,1500.0,1.27,25347.0,0.0008466666666666667,32190.69,0.23983705734657537
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,adult-cola,plastic-1.5lt,1500.0,2.61,15126.0,0.00174,39478.86,0.2941376407215074
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,lemon-boost,glass-500ml,500.0,0.86,26717.0,0.00172,22976.62,0.13988809741248096
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,gazoza,plastic-1.5lt,1500.0,0.71,42833.0,0.0004733333333333333,30411.43,0.08776696815602796
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,kinder-cola,glass-500ml,500.0,1.39,11406.0,0.00278,15854.339999999998,0.04575540689519829
2012-01-31,Patra,38.244440000000004,21.73444,164250.0,shop_6,orange-power,glass-500ml,500.0,0.62,38696.0,0.00124,23991.52,0.14606709284627092
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,gazoza,glass-500ml,500.0,0.56,39056.0,0.0011200000000000001,21871.36,0.06312044374924243
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,adult-cola,plastic-1.5lt,1500.0,2.55,12229.0,0.0017,31183.949999999997,0.046395712139020724
2012-01-31,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,lemon-boost,can-330ml,330.0,0.68,13970.0,0.002060606060606061,9499.6,0.027415714772209106
2012-01-31,Larisa,39.63689,22.41761,137540.0,shop_5,kinder-cola,plastic-1.5lt,1500.0,3.03,5330.0,0.0020199999999999997,16149.9,0.11741965973534971
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,gazoza,plastic-1.5lt,1500.0,0.85,26884.0,0.0005666666666666666,22851.399999999998,0.03399848243643343
2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,orange-power,plastic-1.5lt,1500.0,1.47,15702.0,0.00098,23081.94,0.03434148155862705
2012-01-31,Athens,37.96245,23.687079999999998,672130.0,shop_3,lemon-boost,glass-500ml,500.0,0.87,14309.0,0.00174,12448.83,0.018521461622007646
2012-01-31,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,adult-cola,can-330ml,330.0,0.64,21095.0,0.0019393939393939393,13500.800000000001,0.10058784523800655
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,glass-500ml,500.0,0.96,10799.0,0.0019199999999999998,10367.039999999999,0.015424159016856856
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,plastic-1.5lt,1500.0,2.9,7114.0,0.0019333333333333333,20630.6,0.030694359722077572
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,can-330ml,330.0,0.82,8616.0,0.0024848484848484847,7065.12,0.010511537946528201
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,adult-cola,can-330ml,330.0,0.39,29463.0,0.0011818181818181819,11490.57,0.017095755285435853
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,orange-power,glass-500ml,500.0,0.87,16695.0,0.00174,14524.65,0.021609882016871737
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,orange-power,plastic-1.5lt,1500.0,2.51,5777.0,0.001673333333333333,14500.269999999999,0.021573609272015827
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,gazoza,glass-500ml,500.0,0.73,11362.0,0.00146,8294.26,0.012340261556544121
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,gazoza,plastic-1.5lt,1500.0,1.35,7946.0,0.0009000000000000001,10727.1,0.015959858955856755
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,gazoza,can-330ml,330.0,0.23,41963.0,0.000696969696969697,9651.49,0.014359558418758276
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,glass-500ml,500.0,0.7,17446.0,0.0014,12212.199999999999,0.01816940175263714
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,plastic-1.5lt,1500.0,2.16,7515.0,0.00144,16232.400000000001,0.024150685135316086
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,can-330ml,330.0,0.56,16815.0,0.0016969696969696972,9416.400000000001,0.01400978977281181
2012-02-29,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,kinder-cola,glass-500ml,500.0,1.25,10413.0,0.0025,13016.25,0.09697770062360768
2012-02-29,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,kinder-cola,plastic-1.5lt,1500.0,2.34,9527.0,0.00156,22293.18,0.1660955602410985
2012-02-29,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,kinder-cola,can-330ml,330.0,0.89,7156.0,0.002696969696969697,6368.84,0.04745110602820763
2012-02-29,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,adult-cola,glass-500ml,500.0,1.02,15140.0,0.00204,15442.800000000001,0.11505673563355412
2012-02-29,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,adult-cola,plastic-1.5lt,1500.0,1.61,12356.0,0.0010733333333333335,19893.16,0.148214187261118
2012-02-29,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,orange-power,glass-500ml,500.0,0.51,24366.0,0.00102,12426.66,0.09258495444013143
2012-02-29,Irakleion,35.327870000000004,,134219.0,shop_2,orange-power,plastic-1.5lt,1500.0,1.96,13305.0,0.0013066666666666667,26077.8,0.19429290934964497
2012-02-29,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,orange-power,can-330ml,330.0,0.44,33120.0,0.0013333333333333333,14572.8,0.1085747919445086
2012-02-29,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,gazoza,glass-500ml,500.0,0.59,27468.0,0.0011799999999999998,16206.119999999999,0.12074385891714287
2012-02-29,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,lemon-boost,glass-500ml,500.0,0.71,18764.0,0.0014199999999999998,13322.439999999999,0.09925897227665233
2012-02-29,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,lemon-boost,plastic-1.5lt,1500.0,1.67,10790.0,0.0011133333333333334,18019.3,0.13425297461611246
2012-02-29,Irakleion,35.327870000000004,25.14341,134219.0,shop_2,lemon-boost,can-330ml,330.0,0.67,11939.0,0.0020303030303030303,7999.13,0.05959759795558006
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,kinder-cola,glass-500ml,500.0,1.3,14558.0,0.0026,18925.4,0.11522313546423137
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,kinder-cola,can-330ml,330.0,0.74,13663.0,0.0022424242424242424,10110.619999999999,0.06155628614916286
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,adult-cola,plastic-1.5lt,1500.0,3.63,6510.0,0.00242,23631.3,0.1438739726027397
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,adult-cola,can-330ml,330.0,0.72,23189.0,0.002181818181818182,16696.079999999998,0.10165041095890409
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,orange-power,glass-500ml,500.0,0.8,33467.0,0.0016,26773.600000000002,0.16300517503805176
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,orange-power,plastic-1.5lt,1500.0,1.23,31679.0,0.00082,38965.17,0.23723086757990866
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,orange-power,can-330ml,330.0,0.18,65860.0,0.0005454545454545455,11854.8,0.07217534246575343
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,gazoza,glass-500ml,500.0,0.6,46017.0,0.0012,27610.2,0.1680986301369863
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,gazoza,can-330ml,330.0,0.28,60087.0,0.0008484848484848486,16824.36,0.10243141552511416
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,lemon-boost,glass-500ml,500.0,0.84,24260.0,0.0016799999999999999,20378.399999999998,0.12406940639269405
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,lemon-boost,plastic-1.5lt,1500.0,1.68,16902.0,0.00112,28395.36,0.17287890410958903
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,lemon-boost,can-330ml,330.0,0.46,25713.0,0.001393939393939394,11827.980000000001,0.07201205479452055
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,kinder-cola,glass-500ml,500.0,1.44,8015.0,0.0028799999999999997,11541.6,0.033308898649935643
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,kinder-cola,plastic-1.5lt,1500.0,2.51,9418.0,0.001673333333333333,23639.179999999997,0.0682223479229557
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,kinder-cola,can-330ml,330.0,0.59,15152.0,0.0017878787878787877,8939.68,0.02579979336338607
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,adult-cola,glass-500ml,500.0,1.19,11993.0,0.0023799999999999997,14271.67,0.04118784307161286
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,adult-cola,plastic-1.5lt,1500.0,3.15,9196.0,0.0021,28967.399999999998,0.08359951746310267
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,adult-cola,can-330ml,330.0,0.82,13290.0,0.0024848484848484847,10897.8,0.03145090071630178
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,orange-power,glass-500ml,500.0,0.91,20486.0,0.00182,18642.260000000002,0.05380130562016958
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,orange-power,can-330ml,330.0,0.39,33083.0,0.0011818181818181819,12902.37,0.03723606212951152
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,gazoza,glass-500ml,500.0,0.61,26542.0,0.00122,16190.619999999999,0.04672590634397492
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,gazoza,can-330ml,330.0,0.28,41854.0,0.0008484848484848486,11719.12,0.03382121892514329
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,lemon-boost,glass-500ml,500.0,0.94,18081.0,0.00188,16996.14,0.04905062597041287
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,lemon-boost,plastic-1.5lt,1500.0,2.36,8674.0,0.0015733333333333333,20470.64,0.05907798511985501
2012-02-29,Thessaloniki,40.643609999999995,22.93086,346502.0,shop_4,lemon-boost,can-330ml,330.0,0.63,14972.0,0.0019090909090909091,9432.36,0.027221661058233433
2012-02-29,Athens,37.96245,23.687079999999998,672130.0,shop_3,kinder-cola,glass-500ml,500.0,1.13,8191.0,0.00226,9255.83,0.013770892535670183
2012-02-29,Athens,37.96245,23.687079999999998,672130.0,shop_3,kinder-cola,plastic-1.5lt,1500.0,2.89,4359.0,0.0019266666666666668,12597.51,0.01874266882894678
2012-02-29,Athens,,,672130.0,shop_3,orange-power,glass-500ml,500.0,0.77,16804.0,0.0015400000000000001,12939.08,0.019250859208784016
2012-02-29,Athens,37.96245,23.687079999999998,672130.0,shop_3,orange-power,plastic-1.5lt,1500.0,2.3,6134.0,0.0015333333333333332,14108.199999999999,0.020990284617559102
2012-02-29,Athens,37.96245,23.687079999999998,672130.0,shop_3,gazoza,plastic-1.5lt,1500.0,0.98,14749.0,0.0006533333333333333,14454.02,0.02150479817892372
2012-02-29,Athens,37.96245,23.687079999999998,672130.0,shop_3,gazoza,can-330ml,330.0,0.23,31283.0,0.000696969696969697,7195.09,0.010704908276672668
2012-02-29,Athens,37.96245,23.687079999999998,672130.0,shop_3,lemon-boost,glass-500ml,500.0,0.74,10913.0,0.00148,8075.62,0.01201496734262717
2012-02-29,Athens,37.96245,23.687079999999998,672130.0,shop_3,lemon-boost,plastic-1.5lt,1500.0,1.37,10071.0,0.0009133333333333334,13797.27,0.020527680657015757
2012-02-29,Athens,,,672130.0,shop_3,lemon-boost,can-330ml,330.0,0.62,8824.0,0.0018787878787878789,5470.88,0.008139615848124618
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,kinder-cola,plastic-1.5lt,1500.0,2.39,8347.0,0.0015933333333333333,19949.33,0.14504384179147886
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,adult-cola,glass-500ml,500.0,1.33,8701.0,0.00266,11572.33,0.08413792351315981
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,adult-cola,plastic-1.5lt,1500.0,2.67,9505.0,0.00178,25378.35,0.1845161407590519
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,adult-cola,can-330ml,330.0,0.88,8850.0,0.0026666666666666666,7788.0,0.056623527701032426
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,orange-power,glass-500ml,500.0,0.92,11940.0,0.00184,10984.800000000001,0.07986622073578596
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,orange-power,plastic-1.5lt,1500.0,1.62,11135.0,0.00108,18038.7,0.13115239203140905
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,orange-power,can-330ml,330.0,0.44,21358.0,0.0013333333333333333,9397.52,0.06832572342591246
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,gazoza,glass-500ml,500.0,0.52,24485.0,0.0010400000000000001,12732.2,0.09257088846880908
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,gazoza,plastic-1.5lt,1500.0,1.0,13945.0,0.0006666666666666666,13945.0,0.10138868692743928
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,gazoza,can-330ml,330.0,0.38,18011.0,0.0011515151515151514,6844.18,0.04976137850807038
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,lemon-boost,glass-500ml,500.0,0.65,14859.0,0.0013,9658.35,0.07022211720226844
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,lemon-boost,plastic-1.5lt,1500.0,2.25,8889.0,0.0015,20000.25,0.14541406136396684
2012-02-29,Patra,38.244440000000004,21.73444,164250.0,shop_6,kinder-cola,plastic-1.5lt,1500.0,3.17,9343.0,0.0021133333333333334,29617.309999999998,0.18031847792998476
2012-02-29,Athens,37.97945,23.71622,672130.0,shop_1,adult-cola,plastic-1.5lt,1500.0,2.67,8954.0,0.00178,23907.18,0.035569279752428844
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,kinder-cola,glass-500ml,500.0,1.46,6972.0,0.00292,10179.119999999999,0.07400843391013523
2012-02-29,Larisa,39.63689,22.41761,137540.0,shop_5,lemon-boost,can-330ml,330.0,0.54,11835.0,0.0016363636363636365,6390.900000000001,0.04646575541660608
2012-02-29,Athens,37.96245,23.687079999999998,672130.0,shop_3,gazoza,glass-500ml,500.0,0.48,24822.0,0.0009599999999999999,11914.56,0.01772657075268177
